serialNumber,authenticateCode
FBN10001,73MF80KQ5
FBN10002,30MP90QQ7
FBN10003,57UG81IJ4
FBN10004,65DC28KJ6
FBN10005,90CW78OK3
FBN10006,67PM93CN3
FBN10007,90RJ45FO5
FBN10008,84XC62QR8
FBN10009,86FM46JG9
FBN10010,39DX84PD3
FBN10011,34DN57DM2
FBN10012,30SS64QH4
FBN10013,99SI40JG7
FBN10014,83YR82MN4
FBN10015,89PQ38GI7
FBN10016,63LX20RQ7
FBN10017,28RE98DP1
FBN10018,57MR41PI4
FBN10019,86VJ95CQ2
FBN10020,47LJ32PL6
FBN10021,91HH97LP7
FBN10022,43MW49JR8
FBN10023,14SW96CF1
FBN10024,73KU52HP6
FBN10025,87LW25NE8
FBN10026,79OO19ND7
FBN10027,40JK33LL8
FBN10028,15DJ61LO4
FBN10029,89IK56FE7
FBN10030,37LX68RK1
FBN10031,84IQ15ID6
FBN10032,39XW34GL6
FBN10033,98JU83DR2
FBN10034,50DY14DQ3
FBN10035,27OR18QN9
FBN10036,13UT19JH1
FBN10037,65DF13EF8
FBN10038,79CX86KI5
FBN10039,60GX11HI4
FBN10040,35XY14ID5
FBN10041,55IR25KR3
FBN10042,57QD34CE5
FBN10043,40UN54GM3
FBN10044,40QI72EL4
FBN10045,84QY79FH8
FBN10046,61GF59MG5
FBN10047,98NV44FD1
FBN10048,33IR43IR6
FBN10049,84QR64OP8
FBN10050,38OP20GO9
FBN10051,13QG89FD6
FBN10052,31KU39NC6
FBN10053,58RY44JM8
FBN10054,64EI50NQ9
FBN10055,72IU75JD2
FBN10056,57YG53HL7
FBN10057,59YL64JQ6
FBN10058,55HK15NQ6
FBN10059,89GN69RD6
FBN10060,46SC48EG1
FBN10061,50XL82NK1
FBN10062,56MI12NQ3
FBN10063,19HY93CJ6
FBN10064,61XR33IK8
FBN10065,81QH56JM8
FBN10066,89UR75EK5
FBN10067,89CJ90QG6
FBN10068,13VO48IE7
FBN10069,97IE27CE3
FBN10070,43VD56KM8
FBN10071,91GT97HD4
FBN10072,90TT94OG6
FBN10073,90DL82OE5
FBN10074,14SQ19LH1
FBN10075,11WS84GF9
FBN10076,97RD50OK5
FBN10077,58FL80QD4
FBN10078,85LT42QR6
FBN10079,59MY62CR3
FBN10080,12EC69NJ7
FBN10081,78CV21RM9
FBN10082,38YK70MG4
FBN10083,52XW60DL5
FBN10084,73IO36JH1
FBN10085,54IS71KO5
FBN10086,64EF57IQ1
FBN10087,64UL70RP8
FBN10088,79TX91RI4
FBN10089,74WO94CG1
FBN10090,63WG74QC6
FBN10091,83CH44OD9
FBN10092,43PC49PG6
FBN10093,97EH35CR5
FBN10094,41DY19FI4
FBN10095,76MO99QD4
FBN10096,15EK67MH1
FBN10097,68YF22QG4
FBN10098,46PP61LH8
FBN10099,57MX18RM3
FBN10100,44IO11RL4
FBN10101,28HS92CQ9
FBN10102,29VW80HR4
FBN10103,61NR32RL7
FBN10104,45SJ87IH2
FBN10105,55NE58JK4
FBN10106,47PK95KE1
FBN10107,31HK54MG3
FBN10108,84TD89HO8
FBN10109,56VT45HR1
FBN10110,32UC15ER2
FBN10111,90SL98IE2
FBN10112,45TG49KL5
FBN10113,16PF96JE1
FBN10114,72PF90IO2
FBN10115,15NW99OG8
FBN10116,87EX44FN9
FBN10117,24YI30LD7
FBN10118,67YY27FL1
FBN10119,52CI19NG5
FBN10120,65FI62MJ1
FBN10121,41DN64OJ2
FBN10122,37WW59EM5
FBN10123,44RH84NL2
FBN10124,95YG59KC9
FBN10125,43VY46EH2
FBN10126,47PF97CI2
FBN10127,91VR68NH7
FBN10128,21CY88NG1
FBN10129,66GG23KG8
FBN10130,75SG56OL4
FBN10131,90GU87OL6
FBN10132,83SY65KR1
FBN10133,87WP34HQ6
FBN10134,23LR28DQ7
FBN10135,55KV26DQ4
FBN10136,50YL74FC1
FBN10137,94YN21JK9
FBN10138,67XO37NP7
FBN10139,85OW37KH6
FBN10140,21YI61GN6
FBN10141,81HN61RJ3
FBN10142,27WR66DR3
FBN10143,38PK76RP6
FBN10144,69DP37EF8
FBN10145,69FY98IH9
FBN10146,54PT14NO4
FBN10147,81EH39KQ8
FBN10148,93NI74OE6
FBN10149,81IQ92LE8
FBN10150,81HU92KH5
FBN10151,60SK54GK7
FBN10152,71YH44NE5
FBN10153,34WM67KN9
FBN10154,85NI13PN2
FBN10155,84GF33PN6
FBN10156,84IW51IQ1
FBN10157,40OC28KQ7
FBN10158,94UN41IP8
FBN10159,61FG86NO5
FBN10160,18SS59RJ7
FBN10161,83QY44PK1
FBN10162,41RU19QD6
FBN10163,64RL96LD9
FBN10164,19JO32LI4
FBN10165,34FM54GQ1
FBN10166,95WM77QL3
FBN10167,45UQ33II6
FBN10168,79CJ47NJ2
FBN10169,31CQ24CP6
FBN10170,17RQ63KK3
FBN10171,30EI59MM9
FBN10172,59UO12IK7
FBN10173,93FN63GG9
FBN10174,78LU96DR5
FBN10175,11WH27GM6
FBN10176,27JU75DC7
FBN10177,66MS40FE9
FBN10178,41CQ80RD7
FBN10179,21LV37CN6
FBN10180,46FN35JD5
FBN10181,60WM18HH5
FBN10182,57VV17RR8
FBN10183,22RI48JJ3
FBN10184,49OS38HQ3
FBN10185,84CD31CM1
FBN10186,79OD18PP4
FBN10187,37DM78JP9
FBN10188,92RW35OD5
FBN10189,93WH57IN4
FBN10190,83YF73EM4
FBN10191,96FC56QM6
FBN10192,44VY46IQ1
FBN10193,51SM94NF9
FBN10194,72HV41JI6
FBN10195,54HV97JE1
FBN10196,88TC17NG9
FBN10197,44TW45LG2
FBN10198,25PD15EH6
FBN10199,92MV47DG7
FBN10200,81IQ13HQ8
FBN10201,65QL36FQ8
FBN10202,85SO98JJ7
FBN10203,99KO20EF2
FBN10204,96QY25KE5
FBN10205,63JS42GG6
FBN10206,65HC90NN4
FBN10207,82XW53CF9
FBN10208,40SM42QD8
FBN10209,89WN17DP3
FBN10210,91TH44PI4
FBN10211,84KI30PC8
FBN10212,39NF33KK4
FBN10213,33OY17QD5
FBN10214,65LD87KD5
FBN10215,53EK11QH1
FBN10216,42VP46EE9
FBN10217,66IL79GL3
FBN10218,52IO18PJ6
FBN10219,39TU16OF2
FBN10220,44PO20DE3
FBN10221,48EN40MH1
FBN10222,92LC11JI3
FBN10223,22WF83HO6
FBN10224,88DT74QN2
FBN10225,81RP21NM7
